Well Position,Sample,Genotype,Plate,Biological replicate,Technical replicate,Concentration ,Primer,Cq,Cq Mean,Cq Confidence,Cq SD,Efficiency,Censor,Comments
F4,KD2 (5ng),"221> Idgf6 RNAi, G85R",C,2,1,5,Pepck-1,22.04251951,21.88631776,0.979922256,0.157726604,no,no,
F5,KD2 (5ng),"221> Idgf6 RNAi, G85R",C,2,2,5,Pepck-1,21.72710929,21.88631776,0.984152594,0.157726604,no,no,
F6,KD2 (5ng),"221> Idgf6 RNAi, G85R",C,2,3,5,Pepck-1,21.88932449,21.88631776,0.977368717,0.157726604,no,no,
F7,KD3 (5ng),"221> Idgf6 RNAi, G85R",C,3,1,5,Pepck-1,21.13528142,21.00048234,0.977651138,0.221431478,no,no,
F8,KD3 (5ng),"221> Idgf6 RNAi, G85R",C,3,2,5,Pepck-1,20.74492381,21.00048234,0.982153004,0.221431478,no,no,
F9,KD3 (5ng),"221> Idgf6 RNAi, G85R",C,3,3,5,Pepck-1,21.12124179,21.00048234,0.974234986,0.221431478,no,no,
G1,WT3 (10ng),WT-cr,C,3,1,10,Pepck-1,20.76775283,20.75852306,0.984584549,0.013052871,no,no,
G2,WT3 (10ng),WT-cr,C,3,2,10,Pepck-1,20.74929329,20.75852306,0.974869821,0.013052871,no,no,
G3,WT3 (10ng),WT-cr,C,3,3,10,Pepck-1,UNDETERMINED,20.75852306,0,0.013052871,no,yes,flat melt curve (no sample?)
G4,WT3 (5ng),WT-cr,C,3,1,5,Pepck-1,UNDETERMINED,,0,,no,yes,flat melt curve (no sample?)
G5,WT3 (5ng),WT-cr,C,3,2,5,Pepck-1,UNDETERMINED,,0,,no,yes,flat melt curve (no sample?)
G6,WT3 (5ng),WT-cr,C,3,3,5,Pepck-1,UNDETERMINED,,0,,no,yes,flat melt curve (no sample?)
G7,WT3 (2.5ng),WT-cr,C,3,1,2.5,Pepck-1,22.3075987,22.34790893,0.989172859,0.06975034,no,no,
G8,WT3 (2.5ng),WT-cr,C,3,2,2.5,Pepck-1,22.30767843,22.34790893,0.987486784,0.06975034,no,no,
G9,WT3 (2.5ng),WT-cr,C,3,3,2.5,Pepck-1,22.42844968,22.34790893,0.978729466,0.06975034,no,no,
A1,GR1 5,G85R,D,1,1,5,Idgf6,18.77416376,0.940441055,18.58586397,0.176132842,no,no,
A2,GR1 5,G85R,D,1,2,5,Idgf6,18.42515455,0.980468097,18.58586397,0.176132842,no,no,
A3,GR1 5,G85R,D,1,3,5,Idgf6,18.5582736,0.969175764,18.58586397,0.176132842,no,no,
A4,GR2 5,G85R,D,2,1,5,Idgf6,20.43646637,0.98568577,20.49091103,0.088057251,no,no,
A5,GR2 5,G85R,D,2,2,5,Idgf6,20.59250347,0.98911642,20.49091103,0.088057251,no,no,
A6,GR2 5,G85R,D,2,3,5,Idgf6,20.44376324,0.993968317,20.49091103,0.088057251,no,no,
A7,GR3 5,G85R,D,3,1,5,Idgf6,33.18716771,0.663190012,19.8248852,0.072505274,no,yes,melt curve flat (? no sample)
A8,GR3 5,G85R,D,3,2,5,Idgf6,19.87615417,0.954610573,19.8248852,0.072505274,no,no,
A9,GR3 5,G85R,D,3,3,5,Idgf6,19.77361623,0.982268779,19.8248852,0.072505274,no,no,
B1,GR1 2.5,G85R,D,1,1,2.5,Idgf6,19.42420175,0.974841904,19.17600899,0.226959599,no,no,
B2,GR1 2.5,G85R,D,1,2,2.5,Idgf6,19.12478872,0.985214607,19.17600899,0.226959599,no,no,
B3,GR1 2.5,G85R,D,1,3,2.5,Idgf6,18.97903651,0.991425788,19.17600899,0.226959599,no,no,
B4,GR2 2.5,G85R,D,2,1,2.5,Idgf6,20.94022089,0.990033089,21.01468884,0.140034377,no,no,
B5,GR2 2.5,G85R,D,2,2,2.5,Idgf6,20.9276227,0.984014433,21.01468884,0.140034377,no,no,
B6,GR2 2.5,G85R,D,2,3,2.5,Idgf6,21.17622294,0.974646914,21.01468884,0.140034377,no,no,
B7,GR3 2.5,G85R,D,3,1,2.5,Idgf6,20.57254254,0.985205,20.55902903,0.036638078,no,no,
B8,GR3 2.5,G85R,D,3,2,2.5,Idgf6,20.58699096,0.991216334,20.55902903,0.036638078,no,no,
B9,GR3 2.5,G85R,D,3,3,2.5,Idgf6,20.51755358,0.987144099,20.55902903,0.036638078,no,no,
C1,WT1 5,WT-cr,D,1,1,5,Idgf6,18.41393848,0.982591569,18.38365646,0.11718791,no,no,
C2,WT1 5,WT-cr,D,1,2,5,Idgf6,18.25429963,0.977905735,18.38365646,0.11718791,no,no,
C3,WT1 5,WT-cr,D,1,3,5,Idgf6,18.48273128,0.987949135,18.38365646,0.11718791,no,no,
