"","TktOEWT1","TktDfWT1","WT1","TktDfGR1","GR1","TktOEGR1","TktOEWT2","TktDfWT2","WT2","TktDfGR2","GR2","TktOEGR2","TktOEWT3","TktDfWT3","WT3","TktDfGR3","GR3","TktOEGR3","TktOEWT4","TktDfWT4","WT4","TktDfGR4","GR4","TktOEGR4"
"pseudouridine",8704499938,16540478922.4976,11195795933.6594,9652536220.05484,13819601157.1884,7465687503.98495,14409996169.8809,12411730905.0657,12759316656.6513,10535009279.3776,14382562240.6523,11265484275.2054,10898588234.0604,13083022069.8708,8122525489.60995,9378326832.90189,14054227501.3455,12327620998.7652,17482385288.5962,14067765943.2544,11961596883.1388,9451698909.80584,5367852987.64504,13280905501.2986
"purine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"putrescine",41551883.11,52055107.3507035,795443282.605246,1110611360.06046,7355398736.33751,1491353989.54602,1970295827.01918,1711192920.5035,1693238102.28739,1720192889.45397,1442165105.45834,1410577468.09847,3694961356.21552,1286682516.09735,761092283.27953,1417759120.38528,1260854148.34785,1280734867.18842,1825448681.41227,1721780788.01973,1974275501.66115,1505594586.61203,1493864249.02959,1809968211.06723
"pyridoxal",18656624060,23073250572.8342,17294567930.1193,14243870237.1967,6545383289.4304,9899885539.0191,24585096139.73,17876041028.5797,30183513269.5684,10210551737.5116,8498685388.74578,7997164836.05703,21224437220.6358,21008560407.7459,20195672819.0898,16832859988.2508,13570806273.8692,16488335613.1165,34222656011.9987,24283829642.2699,21418051041.2621,19127517977.1796,13502189776.193,19962925712.2253
"pyroglutamic acid",966379008900,1337733653538.1,1772884077419.84,1794025368977.55,2007844713442.48,1039445020318.83,1525825585671.27,1364206136842.94,1769245643528.71,1714904345517.63,1586177085889.92,1360845544191.45,1334454635321.56,1317636632057.07,1009284560692.77,1726419075491.76,2002781150154.19,2119096192761.72,1919032230587.96,1617248703080.44,1632334826054.75,1957706145542.19,704423491613.944,1680752008508.78
"pyrroline hydroxycarboxylic acid",2718538291000,2731150410828.16,2033891908720.91,3939637989346.72,3328163393163.28,2179505525242.16,2371502227389.76,2506014582473.49,2159282446260.41,3937968473646.85,2872752368133.03,2962223822343.87,3091338446475.79,2537381270733.48,2502463186794.33,3960878643100.88,3626168440615.5,3031475819932.78,2293961491172.09,2496364324159.24,2344893622025.21,4128968217937.17,2534434361662.35,2766157066106.63
"pyruvic acid",581410386800,571954641592.175,309013874425.816,970781298439.733,435125522422.102,608437521229.28,277278708950.931,549531001851.837,776499377862.703,418243599455.461,326103647685.055,416084026276.197,213981175452.878,275659203436.147,511166783930.94,540884347588.471,390402139410.563,640473641162.377,378070031033.764,463474585872.627,425827436416.135,1083654981875.9,801771013694.484,471936454777.705
"quinolinic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S-adenosyl-L-homocysteine",540989946.2,421422267.428668,577559886.253572,474891878.005795,643215803.756856,482636519.374498,711039667.084518,573048470.56739,741731370.322366,535697214.958037,715909146.172513,434076017.286999,614128186.395271,373205519.484861,682081007.371814,730449555.4149,705517190.921643,706613012.284177,508275728.066555,458112892.706861,655404633.098775,948339558.164299,375769640.594105,734734273.101347
"S-adenosyl-L-methionine+",5638134245,14489858719.4667,70116648002.0246,13361748712.0485,10491890847.3049,10232180963.5411,11838573060.7079,19738154180.2153,18163862230.9252,18881628161.9173,13313078604.717,15342292494.7264,6794208683.02082,23946984833.4453,22183018582.1486,17363693985.9137,16144883616.5492,10779723597.1676,12467381876.1472,17964541666.0831,38453137445.5098,16924976325.2503,13446138994.0805,15908805818.2268
"S-adenosylmethioninamine+",NA,NA,NA,6663008.21820469,NA,NA,NA,NA,NA,NA,NA,9279025.70505434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAICAR",8553545.042,NA,NA,NA,NA,4390528.84502238,9810644.61226496,10910217.169708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8495920.17035742,NA,NA
"sarcosine",55796366350,292598720724.922,260790731.7033,163987360586.937,189301234867.851,136283378331.756,376495672.420863,440980718805.468,300232490724.473,301407417.484865,909743640.524172,4547604067.71566,178622203616.12,286494153.652113,1103885643.77765,482599721.732333,968406778.520713,167138005795.748,142318308057.883,393485055270.307,251660809.548846,211487192203.355,3258623432.58215,587850112.505584
"serine",181453006700,280761147796.887,223518022893.996,286172534306.057,247148056462.227,202042118027.921,250331467828.072,259583389906.425,247203227246.64,271474751480.074,190142564867.458,228433848152.184,233937522428.911,260565907996.718,291239282425.466,260577220978.1,248925428628.276,213982475578.025,254100383142.721,262026606897.168,261844168347.246,281114849582.401,193548718372.054,211236046712.578
"serotonin",NA,2678007848.72528,3157102715.8593,621048975.086813,1866884237.49272,1154980012.84964,1914328692.71709,2338244619.41625,1307182700.36268,239357427.382018,1941559619.91971,1085759681.46857,1048575939.02363,1327256731.61989,1819077515.42511,1299105944.76589,1388300800.06014,3738381674.64012,2119670854.31155,2154486988.41082,2703622968.90845,1885203916.70197,NA,2592440737.19685
"sorbitol / galactitol / L-iditol / manitol",409760339500,1369755062873.29,650171604172.235,506762800420.076,1885730758805.57,292877653273.355,560097016468.632,775045869312.127,612827671043.333,507606899932.57,364984050957.364,441332685254.782,497809702206.352,1596743539687.91,521550706300,833910700079.547,618550016165.421,599561044764.022,641036623956.174,1106176681285.56,526911049908.309,680633931434.023,815152856291.155,414706289228.669
"spermidine",551421444400,658906422517.507,419733923079.182,563944698578.273,554716591323.001,400071753508.065,419302042651.03,378897919445.285,267520446624.615,209191889844.711,162718373288.713,131677716842.56,225625151697.23,111889452030.905,96284628877.4995,138113831662.697,132651675616.539,137886033093.103,141218000827.538,133623219230.064,126989469184.486,133909780536.482,103800216447.008,122286075927.746
"spermine",52700900230,61128772283.6664,41479797414.2132,57034829638.7236,63569523791.5611,50705728168.8453,56954402960.3405,55752685150.1535,49912781923.3161,52135032195.1798,49905201351.3737,47466181483.4673,90797763829.6107,48543952874.6121,39080307380.6784,54604895577.1267,51539662119.5773,54090436947.6091,56060509944.014,56126251090.632,56294132674.324,60326916398.5516,53154500608.9947,60237212718.5826
"succinic acid",1618826520000,1801712612370.03,1127132442007.64,1543980237488.18,1672252109207.51,1390281746470.2,1583131107438.78,1648253952185.01,1560901477658.05,1859587686043.02,1549034254850.15,1302109828147.95,1648905333412.93,1989672865160.91,1463907153539.01,1469047781997.7,1422558740518.33,998412372456.32,1530030147969.72,1648356452426.71,1436980073413.05,1580345205435.69,1260438974252.15,1392083016928.75
"succinic semialdehyde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"succinyl-CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"taurine",1021415403000,1654262945267.75,914024114187.337,1575960554736.5,1612080940443.68,1171530542419.41,1303871177818.43,1313763449606.86,1214032969067.08,1563451202350.75,1275588494876.48,1281007874400.97,940737067207.835,1439082650379.43,1454966744439.92,1476651347208.23,1366940990065.18,1645986490381.56,1568795108277.68,1436177870216.54,1046981719432.29,1574838346209.02,705584786685.505,1454550818123.93
"thiamine diphosphate+",8962062498,5270195376.46616,12148359358.0381,6117442234.0227,6011974218.35738,5729760183.76232,5212834431.56864,4472156029.55469,4157707916.0655,4636603387.88927,4640329598.66625,5844684665.19871,3894306206.46125,3351934689.8958,2689099637.96478,2661532807.43189,3125229813.47284,2246430847.84722,1726233904.21966,2369427548.26779,1744825881.34102,1803813998.88858,673238697.837493,1427341620.21239
"thiamine phosphate+",6974079167,6355062033.60632,9886557766.46683,9558157834.55294,9207260467.97711,9606159340.64681,7070240824.98126,7559364012.47371,5857719462.26354,8962203780.6683,9198687928.39263,9719662711.05269,5507523986.78279,7958995930.14146,6390968426.14661,9380099453.98217,9468648298.63464,9312018616.48231,6984447693.45773,7549867133.02838,7056270064.53539,9556922841.48237,6967081643.82488,10005609017.8314
"thiamine+",102284901200,106849494729.466,69637163622.7613,44682898686.5404,79185148335.014,59577568117.7991,128077566506.851,105825745733.3,76797634779.8262,59988628413.3899,67480996755.875,75525778124.5461,84264363930.1235,87436862337.4812,66149321190.3544,48635143343.2542,70189334955.2298,88471304138.1211,146441465266.046,114240039103.262,70915374146.4891,63634247831.6822,44929925020.9223,75257616161.8616
"thymidine",2072508011,30373041.2818413,1558165738.63933,1082370162.85428,910319979.559599,2481995204.25765,937416875.726922,531370999.353883,1829511974.08938,979774474.791317,1408318820.9736,2058725549.8196,397664915.699057,528828547.540385,3070621555.47169,1111254494.65539,1709089373.88685,1407667369.47189,983611594.672464,604108812.425913,1120550197.04871,972594211.291474,NA,866610226.05673
"thymine",7163275187,1218195125.4516,1931569679.46022,2025268427.71293,3238274589.30383,7718834077.90509,1767471068.78218,1654598432.92915,2150527213.7138,1391471032.08724,1445350368.34941,5035630904.58622,821357024.026906,2238776267.97649,4556990840.89041,2923313996.77003,2788666980.42569,2543194211.38118,3764686349.60278,3987033036.35154,1756654683.70068,2031753853.80028,10998252718.2269,3007452091.52071
"tryptamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tryptophan",239579471000,289453783282.389,248261316652.064,290065540963.865,402458855541.005,205971247435.408,386935334264.742,246381240524.721,358875820180.089,321483408896.538,374045482425.051,251383788928.953,246672977052.852,257850148415.35,164043657316.858,288193018587.382,364251363102.361,388383831351.354,461188926559.076,311180506692.61,280214196706.529,329944257885.661,213680775470.524,418614033820.015
"tyramine",5694810838,3384169715.77206,9692156137.2206,6354661514.47837,6069166535.68325,5979787998.9243,6594794631.16361,7176142908.92164,11621870939.5066,6111913560.54161,11195188167.8798,7916519443.86653,3669320825.02117,2109793337.26245,NA,2782851704.27514,19463292619.7949,9500936570.2759,12246810991.0005,6946497835.30718,8455300699.59567,5798028983.9511,4381818145.54022,8481779817.74174
"tyrosine",7891310097000,10031410459862.1,7506678656304.04,7453128274285.45,9736942901814.02,7150994400518.1,11673374264568.1,8801980961421.08,10484501897115.3,7995313379417.91,8476297903980.01,7178384667780.99,8086648464256.44,9157198570382.18,6412368892287.96,8312003127640.16,9729961090789.31,9033785868503.85,10376305889768.8,9366026881855.46,9175023262429.4,7982616829838.5,4668648192076.73,8633037728991.81
"UDP",393082995.7,595054722.785289,3005939134.05914,415411103.693802,613312855.003831,376119157.190107,561918983.986949,1317282845.06892,111305090.892594,606670357.084857,158723906.400541,816654502.249156,314654604.941079,695580288.615073,447547021.540513,509137412.185568,696964889.845023,452468819.884488,384304237.330119,749995894.085374,981742611.663186,360403260.370397,82369562.316644,474362340.500971
"UDP-D-galactose / UDP-D-glucose",1510815197,3286291959.83861,6468609404.42705,2497102888.80359,11483191.7044505,2924600045.92014,2173621208.3068,3877090137.72782,1092086144.91966,4554657965.4292,1663515594.53465,3076871763.32177,1839231218.52664,3076330934.05252,3216374807.69321,2921419878.40902,2744528893.70779,1809754982.19749,1483985151.38459,2770390796.05181,3322051105.34467,2338887013.30534,664961137.274207,2542756406.70884
"UDP-N-acetyl-galactosamine/UDP-N-acetyl-glucosamine",2121170194,6728973922.82477,9068959328.22871,5352817169.61275,4514312615.38647,4492410174.48625,5608521009.82601,6743724965.23787,3239130339.66556,6031973632.4607,4058128460.48354,4953209594.7844,7325794952.33599,7167775612.4505,6101448396.22974,5003090258.0515,4502562437.10691,2947431699.69138,3750666037.95141,6366941247.58188,6018892086.31381,5171432069.03695,1041978063.6448,4140631630.03249
"UMP",5139625312,6214216334.58603,5885362739.50392,3404354597.22009,4033881095.36511,3408497361.47838,5155122447.77161,6664878918.12101,2320794919.27348,5852865448.45002,2415107343.31508,3504320159.92325,4004466507.21739,5280710396.01292,3789293997.43394,4307562187.4954,4697360520.30611,2663276329.47342,3366173053.14349,5579981951.96718,4108297510.85557,4212194603.31115,1544479044.7154,3896760573.52017
"uracil",99654133390,82533293901.8734,95363386537.53,143939561214.439,117477745724.851,104821105554.56,116199472843.218,90158368090.7608,181670314824.822,105991867277.611,141138669671.027,94016788362.809,82543832805.0637,94245774023.3369,98855905746.6328,107253945953.289,128033065371.267,129094666487.934,150768958738.461,116401169016.006,135153477485.474,126340258766.014,183219496655.836,146299095440.913
"uracil 5-carboxylic acid",NA,NA,NA,41138392.1145358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39619037.1396907,NA,NA,NA,NA,NA,NA,45571923.3170607,65220135.2113793
"urea",19026119220,7619249554.98571,11671054842.0013,13563963431.1909,15717274495.9146,23872709869.9932,10603034763.1863,8070426202.73261,10597480200.2328,12591571055.017,20736608903.8128,12148505366.5797,11227657857.8316,10243273087.133,4384283490.30505,14806244690.8342,28127804585.7919,17669930545.5915,12102585310.5503,9152811548.9305,11351830770.0987,11817112475.3,40348074716.2231,24151372715.1701
"uric acid",3454784498000,4266993303025.84,3412261660297.85,689761650244.174,954846049315.556,1057937307718.72,4918551279186.49,3544452837114.91,4005452457357.93,817933936906.533,758470805905.482,955297124275.599,3823748320061.92,3859667961534.6,3879904203126.14,764394221331.046,736686390199.095,1108227228138.5,5313779923490.97,4048942581086.46,3753442660360.01,651761381669.18,455438560721.868,846246253246.507
"uridine",141442594600,420735873263.084,335405199654.767,311050563738.904,293626721603.488,125937702992.056,377569115993.261,369072435723.265,417339465361.784,302165008132.037,330712222663.919,172481931284.538,269136884968,387596870650.77,176324727784.99,275959068352.981,312371097715.975,348682212335.268,535086592283.361,488250370193.165,371366468372.331,315138227289.263,179111759037.855,353988443918.648
"UTP",NA,9034539.05891523,134801681.766727,NA,10191174.5394245,15981822.3302527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7396249.01951676
"valine / norvaline",578747178400,733280069375.671,533429256965.535,900445562406.823,729752791263.026,562625145499.909,632902563727.264,579000886548.86,698188233331.028,844103447703.295,612008802912.509,613495075276.262,508404533303.455,652043486797.495,478790788011.846,752783657786.229,774796214347.912,728145917052.58,683105461258.508,689605143310.368,615100083562.527,727620140246.157,598465944930.935,732563786459.258
"vitamin B2",6975123384,17156646160.8755,9828337645.79668,6049102276.34927,6189596903.92195,2763661826.52066,18225400362.752,12833764418.3254,12177245507.2451,6654963203.15146,6423075234.17333,5193094849.9227,11843292794.8407,10840499172.7654,5311873596.63974,4315636125.31999,5087794330.45411,9616349111.70705,18167712458.8773,15239752978.3006,9075046556.67309,6760241388.76568,2935676104.41525,9809815613.70952
"xanthine",40695229950,117985865574.647,65910496324.4278,4240965990.45597,17266852131.2621,4297345710.01645,85717396746.2632,82721500898.4769,96875583684.7516,7472181239.84063,7306226433.73034,6581510863.82466,72687986972.831,94093949375.4925,48295868135.6981,6793170159.56125,15110056612.3104,9770530623.63034,96880347013.932,91287306345.6097,80351483268.7396,5695480930.11106,8609883541.13262,9294220138.68592
"xanthosine",61390572.6,43874324.4665646,195341985.323084,NA,204462328.829702,NA,247530253.019087,72905578.2471743,209657838.94286,154127978.348303,80885569.6175448,NA,253052174.756098,370285751.937617,74298084.7553056,105658381.777589,156380929.541813,354930047.27384,561435923.439848,296390680.193713,227683521.120015,375196545.152563,NA,69779712.6579512
"xanthurenic acid",3313830779,3364377019.27827,3032507354.91493,1341193358.24516,5170528048.22433,984449263.317739,7816341362.69453,2986323380.38862,4518022958.0201,1411257892.20669,4921762885.3471,1648545967.75735,5773031258.60813,4119151829.87247,2123096284.00809,1984505461.27344,3255900566.0432,6182249435.5295,11737066369.5723,3545898238.53801,4434465829.05939,2095966986.8112,2222434035.26947,3960703252.85533
"XMP",NA,37917075.8466799,125871556.584771,43093740.5032635,22030060.1374461,11173344.4602738,42611070.2970336,54704977.7274153,12081787.0152798,26904362.2717846,10988071.0217681,18282340.1677713,18976792.5333934,73146739.7281168,15391321.5779485,63712578.9529401,13090888.6785802,12471687.5837626,17394500.2723059,83866040.5734401,68334407.0348946,29802647.0179182,NA,26942145.0851479
"xylitol / arabitol / ribito",75619434810,111326880465.584,103261104262.631,148126911054.685,119684010458.803,100536411173.542,126292979941.901,122380771946.716,134552672881.597,123428096471.176,126771304926.77,138870854205.577,80422141094.545,132874860799.979,77344929107.6586,187891437493.312,123983794867.144,165862223549.402,132539211778.439,129218939441.181,101074744909.149,168100516944.731,64248668207.8828,137430089912.584
"y-glutamylcysteine",12160170090,14861752181.031,18027429383.8113,16192999350.9053,18968959569.0715,12538131013.2046,14599473174.3364,21522354191.8262,13692669868.5343,15318810447.6604,22333905107.0281,20983046683.0068,11450860336.6009,19921166342.0889,13456175332.9778,16772426126.4732,26835898639.8267,16612900048.0333,9442175752.28343,26203985096.3763,18478261185.6892,24116726378.3162,12087720450.2017,17149037249.3914
