Gene name,MN.C0,MN.C1,MN.C2,MN.C3,MN.C4,MN.C5,MN.C6,MN.C7,MN.C8,MN.C9,MN.C10,MN.C11,MN.C12,MN.C13,MN.C14,MN.C15,MN.C16,MN.C17,MN.C18,MN.C19,MN.C20,MN.C21,MN.C22,MN.C23,MN.C24,MN.C25,MN.C26,MN.C27
TBC1D16,24.17315481,9.701571869,18.85221217,11.1397386,25.86416205,25.69425711,9.623506264,23.9502662,41.11829402,16.76832937,6.434438263,13.50314038,3.981071706,4.641588834,10.56354104,15.84893192,14.12537545,1.545927736,5.623413252,84.83428982,15.31740464,3.030271083,6.422325422,23.71373706,10,3.792690191,2.15443469,3.16227766
holn1,1.744482699,1.72521055,1.94919403,1.485508017,2.317818181,1.458594012,1.359356391,2.212216291,1.760410844,1.757510625,1.714125253,1.051330177,1.291549665,1.467799268,1.637893707,2.11348904,1.333521432,1.205260937,2.275845926,1.930697729,1.531740464,1.978318883,1.42510267,1.333521432,2.371373706,1.274274986,1,1.995262315
STUB1,4.298662347,3.259551857,4.799095809,3.278121151,8.639884495,3.103153642,2.818382931,3.856620421,2.85851418,2.120950888,3.403414883,2.58847204,1.755676291,3.937658924,3.72759372,7.943282347,3.349654392,1.750827032,3.16227766,6.628703162,2.55509709,5.054796821,2.030917621,4.216965034,5.108969775,2.976351442,3.593813664,3.981071706
Nse4,1.308177474,1.438449888,1.396135391,1.154781985,1.55051578,1.352531975,1.122018454,1.547587355,1.690714103,1.264855217,1.714125253,1.162030136,1.22712524,1.467799268,1.467799268,1.496235656,1.188502227,1.282649831,1.279802214,1.508590709,1.291549665,1.089022962,1.193776642,1.211527659,1.333521432,1.274274986,1.136463666,1.258925412
loh,1.019373486,1,1,1.036632928,1.075835899,1,1.039122304,1.082636734,1,1,1,1.051330177,1,1.056354104,1,1.122018454,1.059253725,1,1.085711119,1,1,1,1,1,1,1,1,1
LManII,1,1.030760802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RluA-1,1.019373486,1,1.350314038,1.11397386,1,1,1.079775162,1,1,1,1,1.105295141,1.052500285,1.115883993,1,1,1,1,1.085711119,1,1.089022962,1,1,1.100694171,1,1,1,1
RluA-2,1.143755863,1.395522497,1.181581733,1.19708503,1.245197085,1.078417397,1.079775162,1.268961003,1.175372265,1.098541142,1.102943312,1.221677349,1.107756851,1.115883993,1.245197085,1,1.188502227,1,1.178768635,1.389495494,1.406527242,1.185971012,1.092600861,1.211527659,1.211527659,1.128837892,1,1
Grip75,1.211527659,1.236247035,1.305996548,1.382372227,1.55051578,1.162984082,1.165914401,1.429461338,1.084145869,1.151395399,1.277564921,1.284386264,1.359356391,1.115883993,1.245197085,1.188502227,1.258925412,1.132541315,1.178768635,1.508590709,1.089022962,1.089022962,1.193776642,1.333521432,1.211527659,1,1.467799268,1
CG7456,1.258925412,1.313472706,1.823348001,1.485508017,1.861406687,1.572973157,1.039122304,1.373823796,1.381499962,1.098541142,1.554137221,1.284386264,1.052500285,1.31536905,1.31536905,1.333521432,1.333521432,1.064209244,1.389495494,1.508590709,1.185971012,1.185971012,1.193776642,1.211527659,1.77827941,1.274274986,1.136463666,1
CG6144,3.285993248,2.132786428,3.215484177,2.942727176,11.15883993,4.358572379,3.414548874,4.344412299,1.832980711,1.526417967,2.797747463,2.227542952,1.430722989,3.528735021,2.833876712,4.216965034,4.73151259,1.205260937,2.912632655,2.912632655,1.668100537,1.531740464,1.858791891,2.371373706,8.254041853,1.832980711,1.136463666,3.16227766
