"","FBgn","Symbol","CG","ensembl","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0284249","FBgn0284249","Adf1","CG15845","47082",1,0,1,0,0,0
"FBgn0262422","FBgn0262422","mir-1011","CR42974","12798496",1,0,1,0,0,0
"FBgn0027335","FBgn0027335","Rip11","CG6606","32850",1,0,1,0,0,0
"FBgn0262690","FBgn0262690","asRNA:CR43160","CR43160","12798134",1,0,1,0,0,0
"FBgn0051760","FBgn0051760","CG31760","CG31760","34642",1,0,1,0,0,0
"FBgn0267521","FBgn0267521","18SrRNA-Ψ:CR45861","FBgn0267521","FBgn0267521",1,0,1,0,0,0
"FBgn0034583","FBgn0034583","CG10527","CG10527","37393",1,0,1,0,0,0
"FBgn0050091","FBgn0050091","CG30091","CG30091","246449",1,0,1,0,0,0
"FBgn0030799","FBgn0030799","CG4872","CG4872","32676",1,0,1,0,0,0
"FBgn0014469","FBgn0014469","Cyp4e2","CG2060","35822",1,0,1,0,0,0
"FBgn0261445","FBgn0261445","sgl","CG10072","38760",1,0,1,0,0,0
"FBgn0265045","FBgn0265045","Strn-Mlck","CG44162","36753",1,0,1,0,0,0
"FBgn0033076","FBgn0033076","CG15233","CG15233","35556",1,0,1,0,0,0
"FBgn0030815","FBgn0030815","CG8945","CG8945","32693",1,0,1,0,0,0
"FBgn0036131","FBgn0036131","CG12522","CG12522","39248",1,0,1,0,0,0
"FBgn0266114","FBgn0266114","asRNA:CR44840","CR44840","19835217",1,0,1,0,0,0
"FBgn0259198","FBgn0259198","CG42302","CG42302","7354435",1,0,1,0,0,0
"FBgn0052690","FBgn0052690","lncRNA:CR32690","CR32690","10178944",1,0,1,0,0,0
"FBgn0040510","FBgn0040510","ACXA","CG17176","53432",1,0,1,0,0,0
"FBgn0028867","FBgn0028867","CR15280","CR15280","3885605",1,0,1,0,0,0
"FBgn0266821","FBgn0266821","lncRNA:CR45283","CR45283","19834887",1,0,1,0,0,0
"FBgn0013300","FBgn0013300","ProtA","CG4479","34866",1,0,1,0,0,0
"FBgn0053882","FBgn0053882","His2B:CG33882","CG33882","3772276",1,0,1,0,0,0
"FBgn0051971","FBgn0051971","tRNA:Asp-GTC-2-1","CR31971","3772550",1,0,1,0,0,0
"FBgn0051861","FBgn0051861","CG31861","CG31861","318988",1,0,1,0,0,0
"FBgn0041195","FBgn0041195","Pkd2","CG6504","34651",1,0,1,0,0,0
"FBgn0050291","FBgn0050291","CG30291","CG30291","246534",1,0,1,0,0,0
"FBgn0005427","FBgn0005427","ewg","CG3114","30975",1,0,1,0,0,0
"FBgn0260954","FBgn0260954","CG42586","CG42586","8673977",1,0,1,0,0,0
"FBgn0015774","FBgn0015774","NetB","CG10521","32400",1,0,1,0,0,0
"FBgn0262213","FBgn0262213","mir-2495","CR42920","12798561",1,0,1,0,0,0
"FBgn0036143","FBgn0036143","CG14142","CG14142","39261",1,0,1,0,0,0
"FBgn0264296","FBgn0264296","CG43774","CG43774","14462693",1,0,1,0,0,0
"FBgn0032405","FBgn0032405","firl","CG14946","34627",1,0,1,0,0,0
"FBgn0265803","FBgn0265803","asRNA:CR44592","CR44592","19836187",1,0,1,0,0,0
"FBgn0053744","FBgn0053744","snmRNA:430r","CR33744","3772353",1,0,1,0,0,0
"FBgn0266030","FBgn0266030","lncRNA:CR44795","CR44795","19835033",1,0,1,0,0,0
"FBgn0028870","FBgn0028870","CG4691","CG4691","34856",1,0,1,0,0,0
"FBgn0266756","FBgn0266756","btsz","CG44012","3346167",1,0,1,0,0,0
"FBgn0261707","FBgn0261707","asRNA:CR42743","CR42743","10178798",1,0,1,0,0,0
"FBgn0050075","FBgn0050075","CG30075","CG30075","246437",1,0,1,0,0,0
"FBgn0270925","FBgn0270925","CG4836","CG4836","42387",1,0,1,0,0,0
"FBgn0259171","FBgn0259171","Pde9","CG42276","32233",1,0,1,0,0,0
"FBgn0011812","FBgn0011812","Lcp1Ψ","FBgn0011812","FBgn0011812",1,0,1,0,0,0
"FBgn0030927","FBgn0030927","CG15046","CG15046","32833",1,0,1,0,0,0
"FBgn0036146","FBgn0036146","nkt","CG14141","39264",1,0,1,0,0,0
